,Temporada,Time,Oponente,Data,Semana,Classificatoria/Playoffs,Casa/Fora,Vitoria/Derrota,Diferenca_Placar,Jogador,Min,Pts_C,Ar_Pts_C,Pts_T,Ar_Pts_T,Pts_3_C,Pts_3_T,Pts_2_C,Pts_2_T,LL_C,LL_T,RO,RD,RT,AS,BR,TO,FC,FR,ER,EN,posse_de_bola
0,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Lucas Mariano,22.7,17,8,28,13,0,0,8,13,1,2,4,3,7,0,1,0,4,3,1,0,11
1,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Kurtz,13.9,16,6,22,9,0,0,6,9,4,4,1,1,2,0,0,0,1,4,2,3,12
2,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Jhonatan,27.4,14,5,23,9,1,2,4,7,3,3,2,0,2,5,1,0,3,4,3,0,11
3,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Léo Meindl,34.2,13,5,31,12,1,3,4,9,2,4,1,3,4,1,3,2,4,2,2,0,15
4,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Figueroa,34.0,10,3,19,6,0,2,3,4,4,5,0,3,3,6,4,0,2,4,2,0,10
5,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Cauê,28.6,6,3,24,11,0,2,3,9,0,0,0,2,2,1,1,0,0,2,0,0,11
6,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Teichmann,25.0,2,1,8,4,0,0,1,4,0,0,0,4,4,1,1,0,1,2,2,0,6
7,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Jerônimo,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Zanini,2.8,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Antonio,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Felipe,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,J. Socas,11.4,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,1,0,1
12,2012,Sesi Franca,Minas,12/01/2013 19:00,14ª RODADA,1º TURNO,casa,vitória,1,Equipe,200.0,78,31,158,65,2,10,29,55,14,18,8,18,26,15,14,2,15,21,13,3,77
0,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Beal,25.5,19,7,37,14,3,7,4,7,2,2,0,3,3,4,3,0,3,3,3,0,18
1,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Betinho,25.7,18,6,30,11,0,1,6,10,6,7,0,2,2,1,0,0,4,6,6,0,20
2,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,D. Nunes,32.6,17,7,28,11,0,2,7,9,3,4,1,9,10,1,2,0,2,3,1,0,13
3,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Mark Borders,37.9,10,4,20,8,1,3,3,5,1,1,0,0,0,1,1,0,2,1,3,0,11
4,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Mineiro,13.3,8,3,10,4,0,0,3,4,2,2,1,5,6,0,0,0,4,2,4,0,8
5,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Renato Lamas,12.8,3,1,12,4,1,4,0,0,0,0,0,4,4,2,1,0,3,0,3,0,7
6,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Bruno,4.4,2,1,2,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1
7,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Coelho,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Demétrio,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Fuzaro,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Ansaloni,5.0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0
11,2012,Minas,Sesi Franca,12/01/2013 19:00,14ª RODADA,1º TURNO,fora,derrota,-1,Equipe,179.0,77,29,139,53,5,17,24,36,14,16,3,26,29,9,8,0,22,15,21,0,77
